scheme_id,site,scheme_name,description,scheme_link
16,https://aaplesarkar.mahaonline.gov.in/,Pradhan Mantri Awas Yojana,"Provision of search Provision of assessment report for the purpose of payment of stamp duty In case of deed not registered, refund of registration fee paid through e-payment mode Provision of attested copy of list of deed Provision of attested copy of deedFiling of Notice of Intimation.Attestations Issuance of Certified Copy of Marriage Certificate.Registration under Special Act, 1954 of marriage already solemnized by other means.Conducting home visits in connection with registration of documents.Attestation of Special Attorney General's letter.Duplication of the registered deed in the office of the Co-District Registrar Depositing, taking back and opening the sealed copy of the will.solemnization of marriage under the Special Marriage Act, 1954.Providing a certified copy of the list of rosters registered with the District Registrar's office.",https://aaplesarkar.mahaonline.gov.in/
17,https://aaplesarkar.mahaonline.gov.in/,APL Farmer Scheme,Devolution of Co-operative Housing Societies Registration of Co-operative Societies Amending Bye-laws of Co-operative Societies Granting License for Moneylending Business Renewal of License for Moneylending Business Providing Technical Services to Farmer Beneficiaries Registration of Silk Farmers Registration of Chalk Setter Holders Registration of Reelers,https://aaplesarkar.mahaonline.gov.in/
18,https://aaplesarkar.mahaonline.gov.in/,Department of Law and Justice,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/mr/Login/Certificate_Documents?ServiceId=5766
19,https://aaplesarkar.mahaonline.gov.in/,home department,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/mr/Login/Certificate_Documents?ServiceId=3225
20,https://aaplesarkar.mahaonline.gov.in/,Department of Transport,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/mr/Login/Certificate_Documents?ServiceId=4502
21,https://aaplesarkar.mahaonline.gov.in/,Industry Department,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/mr/Login/Certificate_Documents?ServiceId=3216
22,https://aaplesarkar.mahaonline.gov.in/,Housing Department - Mhada,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/mr/Login/Certificate_Documents?ServiceId=5019
23,https://aaplesarkar.mahaonline.gov.in/,Housing Department - Mumbai Building Repair and Reconstruction Board,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/mr/Login/Certificate_Documents?ServiceId=5019
24,https://aaplesarkar.mahaonline.gov.in/,Slum Rehabilitation Authority SRA - Mumbai,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/mr/Login/Certificate_Documents?ServiceId=4051
25,https://aaplesarkar.mahaonline.gov.in/,Slum Rehabilitation AuthoritySRA - Pune,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/mr/Login/Certificate_Documents?ServiceId=1657
26,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,New tap connection Change of ownership Change of tap connection size Temporary permanent disconnection of tap connection Reconnection Change of use Water bill preparation Plumber license Plumber license renewal Certificate of no arrears Complaint of faulty meter Unauthorized tap connection Water pressure capacity complaint Water quality complaint Redressal of water bill complaint Relocation of tap connection,https://aaplesarkar.mahaonline.gov.in/
27,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,Chemical and Biological Separation Borewell Site Survey Hydrological and Geophysical,https://aaplesarkar.mahaonline.gov.in/
28,https://aaplesarkar.mahaonline.gov.in/,Chief Minister Employment Scheme,New tap change of ownership Change of tap size Change of tap size Temporary permanent disconnection Reconnection Change of use Water bill preparation Plumber license Plumber license renewal Certificate of no arrears Complaint of faulty meter Unauthorized tap connection Complaint Water pressure capacity complaint Water quality complaint Obtaining new license License renewal License transfer license Secondary copy Business name change Business change of licensee partnerChange of name Change in number of partners Increase or decrease Cancellation of license Renewal notice for expired license,https://aaplesarkar.mahaonline.gov.in/
29,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,"Self-renewal of consent to operate under Water and Air Act Consent for establishment under Water and Air Act Operation consent under Water and Air Act Authorization under Solid Waste Management Rules 2016 Authorization under Construction and Destruction Management Rules 2016 Application for amendment of registration consent application under Battery, Waste Management and Handling Rules 2001 Hazardous and Other Waste Management Transboundary Transport Rules, 2016 Authorization for processing, recycling and recovery of hazardous waste andImprove it.One-time authorization for import of hazardous waste as per Part-D Schedule-III of Hazardous and Other Waste Management Transboundary Movement Rules, 2016 and amendments thereto.Authorization of transporters to transport hazardous waste by vehicle in the State of Maharashtra under Rule 18 of the Management of Hazardous and Other Waste Transboundary Transport Rules, 2016 and amendments thereto.Consolidated consent and bio-medical waste authorization for health care establishments HCE as per provisions of Water PCP Act 1974 Air PCP Act 1981 and Bio-Medical Waste Management Rules, 2016 Amended and Hazardous Waste MTM Rules, 2016Registration of Plastics EPR under Plastic Waste Management Rules, 2016 and amendments thereto.",https://aaplesarkar.mahaonline.gov.in/
30,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,"Approval of Building Maps, Fire Fighting No Objection Certificate, Temporary Tap Connection, Sewage Drainage Maps Final Fire Fighting System Approval Building Completion Certificate Occupancy Certificate Permanent Water Supply Tap Connection No Objection Certificate for Information Technology Enterprises in the area of Maharashtra Industrial Development Corporation in Mumbai Region Metropolitan Area Information Technology Companies under Information Technology Policy under Information Technology Policy in the area of Maharashtra Industrial Development Corporation in Mumbai Region Metropolitan RegionRegistration of companies",https://aaplesarkar.mahaonline.gov.in/
31,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,Apply for Marriage Registration Apply for Fire Extinguisher No Objection Certificate,https://aaplesarkar.mahaonline.gov.in/
32,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/mr/Login/Certificate_Documents?ServiceId=1255
33,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,Issuance of AYUSH Character Certificate Issuance of AYUSH Study Certificate Issuance of No Objection Certificate AYUSH No Due Certificate Issuance of AYUSH Permanent Injuries Certificate Issuance of AYUSH Exemption from Work Certificate AYUSH Medical Certificate,https://aaplesarkar.mahaonline.gov.in/
34,https://aaplesarkar.mahaonline.gov.in/,Student Scholarship Scheme,M.I.M.H.No objection certificate to M.I.M.H.Issuance of Pass Certificate M.I.M.H.Issuance of Certificate of Incorporation by M.I.M.H.Genuine Student Certificate M.I.M.H.Issuance of payment certificate of M.I.M.H.Issuance of experience certificate D.M.E.R.Issuance of Exemption Certificate D.M.E.R.Issuance of Character Certificate D.M.E.R.Issuance of Study Certificate D.M.E.R.Issuance of medical certificate to new entrants D.M.E.R.No Objection Certificate D.M.E.R.No payment certificate D.M.E.R.Issuance of certificate of minor injuries,https://aaplesarkar.mahaonline.gov.in/
35,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,Making available e-book CDs of gazetteer books published by gazetteer department,https://aaplesarkar.mahaonline.gov.in/
36,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,To provide certified copies of preserved records of historical importance To national and foreign researchers to allow citizens for research To provide CDs of scanned records To provide xerox copies of preserved records To provide preserved records for research Providing information to researchers and citizens about various activities of the Directorate Informing researchers and citizens about the functioning of the Directorate,https://aaplesarkar.mahaonline.gov.in/
37,https://aaplesarkar.mahaonline.gov.in/,Mahila Self Help Scheme,Registration of pregnant mothers in Anganwadi Registration of children from 06 months to 03 years in Anganwadi Registration of children from 03 to 06 years in Anganwadi Registration of adolescent girls under Sabla Yojana Registration of girls under Kishori Shakti Yojana Children in the state's children's homes established to put children in natural and unnatural crisis back on their own feet in the society are admitted to observation homes.To undertake Admitting affected women in Aadhaar home Superintendent Superintendent To provide orphan certificate to orphan children Marriage grant for daughters of destitute widowed women To provide benefits to children under Kranti Jyoti Savitribai Phule Bal Sangopan Yojana,https://aaplesarkar.mahaonline.gov.in/
38,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/mr/Login/Certificate_Documents?ServiceId=4307
39,https://aaplesarkar.mahaonline.gov.in/,Pradhan Mantri Awas Yojana,Pandit Dindayal Upadhyay Swayam Yojana to provide free admission to government hostels for tribal boys and girls,https://aaplesarkar.mahaonline.gov.in/
40,https://aaplesarkar.mahaonline.gov.in/,Mahatma Phule Jan Arogya Yojana,"Poultry Compartment Testing Poultry Farm Soda SPF Egg Export Certification Gross Proximate Analysis of Animal Feed Analytical Constituents 1 to 6 Parameters Macro Constituents in Animal Feed 1 to 6 Parameters Calcium, Iron and Salt 19 Parameters Animal Feed Micronutrients and Heavy Metals Micronutrients and Heavy Metals Fiber in Animal Feed Crude Fiber, NDF, ADF and ADL in Animal FeedEnergy Pet Shops Registration Provisional Certificate Validity 3 Months & Final Certificate 5 Dog Breeding & Marketing Center Registration 2 Years for Validity Certificate Animal Feed & Poultry Base Export Fodder Crops Substitutes for Export and Meat Products Test Test",https://aaplesarkar.mahaonline.gov.in/
41,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,Fishing License for Fishermen Online Registration of Fishing Organizations Online Registration of Fish Seed Center Online Registration of Fishing Boats Online Fishing License for Fishing Boats Online Ticket Distribution of Taroporwala Aquarium,https://aaplesarkar.mahaonline.gov.in/
42,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,"Verification of player certificate for 5% reservation in Govt Semi-Government and other sectors for highly meritorious sportspersons for awarding sports concession marks to students participating in state, national and international level participating in class 10th and 12th examination.Regarding issuance of proficiency participation certificate in district, section and state sports competition organized by the department.Secondary and Higher Secondary School Certificate Examination Secondary and Higher Secondary School Certificate Examination Second Secondary and Higher Secondary School Certificate Examination Secondary and Higher Secondary School Certificate Examination Provisional Certificate Secondary and Higher Secondary School Certificate Examination Marks Verification Secondary and Higher Secondary School Certificate Examination Obtaining a shadow copy of the answer sheet after the results of the Secondary and Higher Secondary School Certificate Examination Private Candidates Entering for the Examination Affiliation of Institutions with the Examination Council for Government Commerce Certificate Examination Commerce Certificate Examination Certificate Correction of Commerce Certificate Examination Certificate",https://aaplesarkar.mahaonline.gov.in/
43,https://aaplesarkar.mahaonline.gov.in/,Student Scholarship Scheme,Soil and Water Sample Inspection Seed Sample Inspection Fertilizer Sample Inspection Pesticide Sample Inspection Seed Sales License State Level Fertilizer Manufacturing Sale Certificate State Level Pesticide Product Sale License State Level Drip Set Manufacturer Registration Planting Material Issuance of Productivity Certificate for Importing Pesticide Sample Inspection Sale License for Sale of Fruit Cultivars Phdm.Sc Higher Graduate Master Degree Duplicate Certificate Phdm.Sc Higher Graduate Master Duplicate Certificate Duplicate P.P.C - Duplicate of Provisional Pass Certificate Duplicate of Agricultural Technical Diploma 2 years Marathi Medium Duplicate of Marksheet 2 years Marathi Medium Duplicate of Gardener Training Certificate Duplicate of Migration Certificate Duplicate of Agricultural Technical Diploma 3 years Sem English Medium Duplicate of Certificate of Agricultural Technical Diploma 3 years Sem English medium Issuance of Productivity Certificate for Importation of Agricultural Production Inspection Planting Materials Issuance of Exportable Vineyards Registration Certificate under Apeda’s Grapenet System for Export to European CountriesRenewal Certificate of Registration of Exportable Mango Orchards under Apeda's Mangonet System for Export to European Countries Renewal of Certificate of Registration of Exportable Pomegranate Orchards under Apeda's Anarnet System for Export to European Countries Renewal of Certificate of Registration of Exportable Pomegranate Orchards under Apeda's Vegnet System for Export to European Countries,https://aaplesarkar.mahaonline.gov.in/
44,https://aaplesarkar.mahaonline.gov.in/,Chief Minister Employment Scheme,"E-Registration under Value Added Tax Act 2002, Central Sales Tax Act 1956, Maharashtra State Business, Profession, Livelihood and Employment Tax Act, 1975",https://aaplesarkar.mahaonline.gov.in/
45,https://aaplesarkar.mahaonline.gov.in/,Ananda Ration Scheme,"New ration card Requisition Weight-Measure Manufacturer License Weight-Measure Manufacturer License Renewal Weight-Measure Vendor License Weight-Measure Vendor License Renewal Weight-Measure Corrector License Importer Registration Certificate Nomination Registration Certificate Package Registration Certificate Importer Issuance of Weight-Measure Corrector License Renewal of New Ration Card Requisition Correction in name in ration card Add new name in ration card Increase Name in ration cardTo do About address on ration card Secondary ration card badly torn etc.Amendment of weights or measures vendor licence.Amendment of weight or measure corrector licence.Amendment of registration as manufacturer/importer of imported goods under Valid Metrology Imported Goods Rules, 2011.Stamping, verification and certification of weights and measures under the Metrology Act, 2009",https://aaplesarkar.mahaonline.gov.in/
46,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,Railway Concession- Issuance of certificate for concession in railway fare to the art troupes invited to perform art in foreign states and eligible as per the conditions.,https://aaplesarkar.mahaonline.gov.in/
47,https://aaplesarkar.mahaonline.gov.in/,Pradhan Mantri Awas Yojana,Registration and renewal of registration under Mahabhraman Yojana for issuance of non-validation certificate to tourist entities for concession in stamp duty.Issuance of final certification to tourist entities.Registration and renewal under Bed and Breakfast scheme.,https://aaplesarkar.mahaonline.gov.in/
48,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,Reservation of Rabindra Nataya Mandir AuditoriumMini AuditoriumTaleem Hall for social and cultural activitiesRefund of deposit taken for reservation of AuditoriumTaleem Hall,https://aaplesarkar.mahaonline.gov.in/
49,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,"Issuance of certificate for organizing orchestra tamasha, mela, drama as well as issuance of non-violation certificate for one day programs held in public places.Certification of no-obligation to one-day programs Certification of theater codes",https://aaplesarkar.mahaonline.gov.in/
50,https://aaplesarkar.mahaonline.gov.in/,Agriculture Scheme,"Providing Duplicates - A Income Card Duplicating - B Income Card Mumbai Suburban District, Area Verification and Duplicating - C Land Survey Record Note, Area Book, Pratibook, Farm Book, Answer, Partition, Kate Falni, H.F.No. 4, Supply of copies of records such as size chart, scheme extract, size band, group map, enumeration map, K.J.P., inquiry register etc. - d Copies of appeal decisions A Counting cases - i Urgent cases A counting cases - ii Urgent cases A counting cases - iii Simple cases A counting cases - iv Very urgent cases B counting cases - Providing a copy of counting map after completion of countingExtortion K.J.P.Preparation of A. After calculation of sub-parts, grant of levy in the whole case.Preparation B After settlement of non-agricultural enumeration case in complete case, K.J.P.Preparing and approving Alteration records - A If not in dispute Alteration records - B Taking decision regarding alteration if the link is broken Alteration records - C Recording the names of the concerned in the case of transfer of land to the concerned authority regarding road, road set back, reservation in the income sheet.In case the competent authority of the Municipal Corporation sends the case for change of name along with the possession receipt and all the documents, change records - d If there is a dispute, divide the income slip and separate the income slip from the day of completion of the sub-share calculation, A.From day to day, there is a discrepancy in the sub-division area ordered by Collector B.However, in the case where there is no difference in the area of ​​land surveying of the original city, after the Collector gave re-approval, independent Mr.Opening of tracts Preparation of independent revenue tracts with names of government concerned authorities regarding road, road set back, reservation in land acquisition a In cases where there is no difference in the area of original town land survey Independent preparation of revenue tracts after final order of competent authorities Preparation of independent revenue tracts names of government concerned authorities regarding roads, road set backs, reservations in land acquisition b Competent if there is difference in transfer areaAfter the final order of the authorities",https://aaplesarkar.mahaonline.gov.in/
51,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,Issuance of Excavation Permission Granting Excavation Construction Monitoring of Power Schemes Approval of Power Schemes Approval of Power Schemes Energized Permits of Power Schemes Registration of Power Schemes.Allowing power storage map clearance,https://aaplesarkar.mahaonline.gov.in/
52,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/mr/Login/Certificate_Documents?ServiceId=3249
53,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,Mr. Devendra Fadnavis Honorable Chief Minister,https://aaplesarkar.mahaonline.gov.in/#
54,https://aaplesarkar.mahaonline.gov.in/,Pradhan Mantri Awas Yojana,"Renewal of registration certificate issued to special aided schools and workshops for the handicapped, mentally retarded children's homes as well as for working in the field of disabilities.",https://aaplesarkar.mahaonline.gov.in/
55,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,"Approving water rights due to water utility organization Issuing water bill arrears certificate to water utility organization Issuing non-irrigation water bill arrears certificate Redressal of water bill payment complaints Issuance of benefit area certificate Issuance of domestic water use license to Gram Panchayat, Zilla Parishad, Municipality, Municipal Council, Nagar Panchayat Cuttack Mandals Issuance of domestic water use license to Municipal Corporation, private developers, special urban development projects Issuance of domestic industrial water use license for industrial purposes",https://aaplesarkar.mahaonline.gov.in/
56,https://aaplesarkar.mahaonline.gov.in/,Chief Minister Employment Scheme,New Tap Connection Compulsory Payment Alteration of Right Right Free Tap Resize Free Temporary Remodel Tap Change Free Use Change Free License Paid No Dues Development Free Faulty Meter Free Tap Requirement Network.Pressure Capacity Free New Tap Connection Free New Tap Connection is required.OR 1 to 2 LPG Cylinders Tree Trimming Application Tree Shops and Statues Establishment Registration Application - Form A Form A Free Shops and Establishments Change Notice Application - Form I Free Establishments with 0 to Employees Notice Application - Form F Form F Free Shops and Establishments for Cancellation J Form J Form Free Register Permit Free Service House Registration Paid Housing Paid Housing New Application Paid Health Department Renewal Paid Renewal License Renewal Trade License PaidRenewal of License Trade License Paid License Renewal of Trade License Paid License Secondary Copy Trade License Interest in Name License Paid Business Name Change Trade License Free Trade License Developmental License Paid License Cancellation of License Free Trading Granting Free Due Transactions Paying Free Tax Amount Free Subdivision Portion Creation Free Marriage Registration Paid,https://aaplesarkar.mahaonline.gov.in/
57,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,Business Name Change HealthFree License Cancellation HealthFree License Cancellation ProjectionFree License Cancellation Advertising Free Business Name Change Glow SignFree License Cancellation Glow SignFree,https://aaplesarkar.mahaonline.gov.in/
58,https://aaplesarkar.mahaonline.gov.in/,Student Scholarship Scheme,Revalidation of Elementary and Intermediate Grades in Drawing Examination Issuance of Provisional Certificate of Drawing Examination.Issuance of Secondary Certificate of Drawing Examination.Correction of name on Certificate of Drawing Examination Re-verification of marks in Higher Diploma Examination Issuance of Secondary Certificate of Higher Diploma Examination.Correction of Name in Diploma Course Mark Sheet Correction of Name in Certificate of Diploma Course Issuance of Artist Certificate Approval of Clay Model of Statue Issuance of Certificate of Dismissal for Further Education Issuance of Transcript to Passed Students of Diploma of Education Issuance of Education Bonafide Certificate Issuance of Character Certificate Issuance of Identity Card B.F.A.Issuance of transcripts to graduating students,https://aaplesarkar.mahaonline.gov.in/
59,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,Application for Library Non Payable Certificate Application for Non Payable Certificate Application for Bonafide Certificate Application for Character Certificate Application for Identity Card Application for Return of Original Documents Application for Institution Leaving Certificate Application for Correction of Name in Mark Sheet Application for Removal of Withholding Remarks from Mark Sheet Application for Duplicate Documents Application for Revaluation of Answer Sheet,https://aaplesarkar.mahaonline.gov.in/
60,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,MSBTE - Maharashtra State Transcript Certificate MSBTE - Maharashtra State Secondary Mark Sheet MSBTE - Maharashtra State Secondary Degree Certificate Maharashtra State Migration Certificate MSBTE - Eligibility Certificate Diploma MSBTE - Application for Revaluation of Answer Sheet MSBTE - Revised Degree Certificate MSBTE - Revised Mark Sheet MSBTE - Course Certification,https://aaplesarkar.mahaonline.gov.in/
61,https://aaplesarkar.mahaonline.gov.in/,Scheme of State Govt,Recalculation of marks obtained in Secondary Degree Certificate Secondary Mark Sheet Examination.Document Verification CET Exam Mark Sheet Migration Eligibility Certificate Application for Scholarship Distribution Application for Summary of Intra-University Scholarship Admission Form Application for Degree Certificate Application for Secondary Passage Certificate Application for Lower Level Examination Incomplete Application for Commenting Reserved Commenting Application for Secondary Copy of Documents Application for Photocopy of Answer Sheet Application for Revaluation of Answer Sheet SyllabusApplication for Certification Application for Eligibility Certificate Application for SSLC Consolidated Mark Sheet Application for Pass Certificate Application for Identity CardApplication for Original Documents Application for Provisional Degree Certificate Application for Authenticity of Degree Certificate Application for Re-admission Application Application for Mark Sheet,https://aaplesarkar.mahaonline.gov.in/
