scheme_id,scheme_name,description,department,category,eligibility,deadline
20,मोफत कायदा सल्ला केंद्र,गरिबांसाठी मोफत कायदेविषयक सल्ला आणि मदत,न्याय विभाग,सल्ला,आर्थिकदृष्ट्या दुर्बल घटक,चालू
21,घरोघरी शौचालय,प्रत्येक घरात शौचालय बांधण्यासाठी अनुदान,स्वच्छता अभियान,अनुदान,शौचालय नसलेले घर,12/15/2024
22,वृक्षारोपण अभियान,जागतिक आरोग्यासाठी मोठ्या प्रमाणावर वृक्षारोपण करणे,वन विभाग,जागरूकता,"सर्व नागरिक, शाळा, महाविद्यालये",6/5/2024
23,नागरी सेवा तयारी शिबिर,UPSC/MPSC साठी मोफत मार्गदर्शन शिबिर,युवा कल्याण विभाग,प्रशिक्षण,ग्रॅज्युएट तरुण,8/20/2024
24,सांस्कृतिक कार्यक्रम अनुदान,सांस्कृतिक कार्यक्रम आयोजित करण्यासाठी आर्थिक अनुदान,सांस्कृतिक कार्य विभाग,अनुदान,"सांस्कृतिक संस्था, कलाकार",9/18/2024
25,मोफत डिजिटल ज्ञान,ग्रामीण भागातील लोकांसाठी डिजिटल साक्षरता अभियान,तंत्रज्ञान विभाग,प्रशिक्षण,सर्व नागरिक,11/11/2024
26,खेळ प्रोत्साहन योजना,राज्यातील तरुण खेळाडूंना प्रशिक्षणासाठी आर्थिक मदत,क्रीडा विभाग,शिष्यवृत्ती,राष्ट्रीय/आंतरराष्ट्रीय स्पर्धा विजेते,7/7/2024
27,ग्रामीण विद्युतीकरण,सर्व ग्रामीण भागात विजेचा पुरवठा सुनिश्चित करणे,ऊर्जा विभाग,इन्फ्रास्ट्रक्चर,विद्युत नसलेले गाव,1/31/2025
28,महात्मा फुले सामाजिक न्याय योजना,सामाजिक न्यायासाठी चालविल्या जाणाऱ्या विविध उपक्रम,सामाजिक न्याय विभाग,जागरूकता,सर्व नागरिक,चालू
29,मोफत दवाखाना,ग्रामीण भागातील रुग्णांसाठी मोफत दवाखाना आणि औषधे,आरोग्य विभाग,आरोग्य सेवा,ग्रामीण भागातील रहिवासी,चालू
30,घर दुरुस्ती अनुदान,जुन्या आणि कोसळत्या घरांच्या दुरुस्तीसाठी अनुदान,आवास विभाग,अनुदान,"घरमालक, गृहनिर्माण परवाना",10/30/2024
