query,relevant_scheme_ids
शिधा वितरण योजना,"[1,2]"
ई-पॉस शिधा प्रणाली,[1]
रोजगार हमी योजना,"[28,44,56]"
स्वयंरोजगार योजना माहिती,"[28,44,56]"
महसूल विभाग प्रमाणपत्र,[9]
उत्पन्न प्रमाणपत्र सेवा,[9]
ग्रामविकास योजना,[10]
ग्रामपंचायत योजना माहिती,[10]
कामगार कल्याण सेवा,[11]
कामगार नोंदणी प्रक्रिया,[11]
जलसंपदा सेवा,[12]
पाणी संसाधन विभाग सेवा,[12]
पर्यटन नोंदणी योजना,[47]
पर्यटन व्यवसाय परवाना,[47]
सांस्कृतिक सभागृह आरक्षण,[48]
कार्यक्रमासाठी हॉल बुकिंग,[48]
नाटक परवानगी योजना,[49]
नाटक सादरीकरण परवाना,[49]
आयुष वैद्यकीय प्रमाणपत्र,[33]
आयुर्वेद डॉक्टर प्रमाणपत्र,[33]
अग्निशामक ना हरकत प्रमाणपत्र,"[30,31]"
फायर NOC कसे मिळवावे,"[30,31]"
बांधकाम कंत्राटदार नोंदणी,[62]
कंत्राटदार परवाना अर्ज,[62]
सावकारी व्यवसाय परवाना,[17]
रेशीम शेतकरी नोंदणी,[17]
पीक विमा संरक्षण योजना,"[1,2]"
पीक विमा कसा घ्यावा,"[1,2]"
शेतकरी अनुदान योजना,[2]
शेती अनुदान माहिती,[2]
अन्न सुरक्षा योजना,"[1,2]"
राष्ट्रीय अन्नसुरक्षा योजना,"[1,2]"
भोजन थाळी योजना,[3]
कमी दरात जेवण योजना,[3]
विद्यार्थी आर्थिक सहाय्य योजना,"[14,34,43,58]"
शिष्यवृत्ती अर्ज प्रक्रिया,"[14,34,43,58]"
ज्येष्ठांसाठी निवृत्ती वेतन,[15]
वृद्धापकाळ पेन्शन माहिती,[15]
घर योजना ग्रामीण भाग,"[16,39]"
घर योजना शहरी भाग,"[47,54]"
उद्योग सुरू करण्यासाठी नोंदणी,"[44,63]"
व्यवसाय नोंदणी प्रक्रिया,"[44,63]"
महिला बचत गट योजना,[37]
महिला स्वयं सहाय गट माहिती,[37]
महिला उद्योजक कर्ज योजना,"[28,37,44]"
महिलांसाठी व्यवसाय कर्ज,"[28,37,44]"
बाल संगोपन योजना,[22]
बाल कल्याण सेवा,[22]
अंगणवाडी नोंदणी,[22]
बाल विकास सेवा,[22]
दिव्यांग व्यक्ती पेन्शन योजना,[15]
अपंगांसाठी मासिक मदत,[15]
अपंग प्रमाणपत्र अर्ज,[33]
दिव्यांग प्रमाणपत्र सेवा,[33]
आरोग्य विमा योजना माहिती,"[33,38]"
मोफत आरोग्य उपचार योजना,"[33,38]"
कृषी उपकरण अनुदान योजना,[2]
ट्रॅक्टर अनुदान योजना,[2]
शेततळे अनुदान योजना,[2]
सिंचन अनुदान योजना,[2]
पशुसंवर्धन कर्ज योजना,[21]
दुग्ध व्यवसाय कर्ज योजना,[21]
पोल्ट्री व्यवसाय योजना,[21]
मत्स्य व्यवसाय अनुदान,[41]
मत्स्य व्यवसाय कर्ज,[41]
नगरपालिका कर भरणा सेवा,[27]
मालमत्ता कर भरणा,[27]
जन्म प्रमाणपत्र अर्ज प्रक्रिया,[60]
जन्म दाखला कसा मिळवावा,[60]
मृत्यू प्रमाणपत्र सेवा,[60]
मृत्यू दाखला अर्ज,[60]
विवाह नोंदणी सेवा,[60]
लग्न नोंदणी प्रक्रिया,[60]
डोमिसाईल प्रमाणपत्र अर्ज,[9]
रहिवासी दाखला सेवा,[9]
जात प्रमाणपत्र अर्ज,[9]
कास्ट सर्टिफिकेट सेवा,[9]
शालेय प्रवेश योजना,[34]
मोफत पाठ्यपुस्तक योजना,[34]
विद्यार्थी सायकल योजना,[34]
कन्या शिक्षण योजना,[14]
मुलींसाठी शिक्षण अनुदान,[14]
कन्या विवाह योजना,[22]
लग्नासाठी आर्थिक मदत योजना,[22]
रोजगार प्रशिक्षण योजना,"[44,56]"
कौशल्य विकास योजना,"[44,56]"
IT प्रशिक्षण योजना,"[44,56]"
डिजिटल साक्षरता योजना,[44]
स्टार्टअप नोंदणी प्रक्रिया,[44]
लघुउद्योग नोंदणी,[44]
GST नोंदणी प्रक्रिया,[63]
व्यापार परवाना नूतनीकरण,[63]
पर्यटन मार्गदर्शक परवाना,[47]
हॉटेल नोंदणी प्रक्रिया,[47]
सांस्कृतिक कार्यक्रम परवानगी,[49]
संगीत कार्यक्रम परवाना,[49]
नाट्यगृह आरक्षण,[48]
सामुदायिक सभागृह बुकिंग,[48]
अन्न प्रक्रिया उद्योग योजना,[44]
फूड प्रोसेसिंग कर्ज योजना,[44]
शेतकरी बाजार योजना,"[4,5,6]"
कृषी उत्पादने विक्री परवाना,"[4,5,6]"
धान्य खरेदी योजना,"[1,2]"
शासकीय धान्य योजना,"[1,2]"
राशन कार्ड दुरुस्ती,[1]
नवीन राशन कार्ड अर्ज,[1]
शहरी गृहनिर्माण योजना,"[47,54]"
ग्रामीण घरकुल योजना,"[16,39]"
महिला सुरक्षा योजना,[37]
महिला हेल्पलाईन सेवा,[37]
बाल संरक्षण योजना,[22]
बाल हेल्पलाईन सेवा,[22]
शालेय पोषण आहार योजना,[34]
मिड डे मील योजना,[34]
पाणी बिल भरणा सेवा,[26]
ऑनलाइन पाणी बिल पेमेंट,[26]
वीज बिल भरणा,[51]
ऑनलाइन वीज बिल पेमेंट,[51]
रोजगार कार्यालय नोंदणी,[56]
नोकरी शोध नोंदणी,[56]
अपंग रोजगार योजना,[56]
युवा उद्योजक योजना,[44]
कृषी प्रशिक्षण शिबीर,[17]
शेती कार्यशाळा नोंदणी,[17]
शेतकरी मार्गदर्शन केंद्र,[17]
शासकीय अनुदान योजना माहिती,"[2,14,22,28]"
सरकारी योजना अर्ज प्रक्रिया,"[2,14,22,28]"
